Vendor,Bid Amount,CONT_ID,LEV2_OFFICE_NBR,DESC1,C_O_NBR,CD_DESC,APPR_DT,C_O_AMT,CHNG_DESC,C_O_T
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,017,Modifications With No CMO/MCR Required,20120716,"$1,460.17",Drainage grade bust,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,004,Modifications With No CMO/MCR Required,20120306,$100.00,Added Hourly Survey,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,001,Plan Force Account,20111116,"$1,059,680.00",Plan Force Account,FA
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,002,Contract Modification Order,20130306,"$646,072.29",Revised Shoring  and Combining Phases One and Two,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,003,Contract Modification Order,20150317,$0.00,Replace Project Plan Sheets 169 and 170,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,005,Modifications With No CMO/MCR Required,20120524,-$136.59,Concrete Price Reduction,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,006,Contract Modification Order,20120607,"$15,000.00","Add  6"" PP Underdrain",CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,035,Minor Contract Revision,20130924,$0.00,Minor contract revisions various,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,034,Contract Modification Order,20130829,$0.00,Overhead utility delay BNSF RR abutment 1,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,036,Minor Contract Revision,20131113,$0.00,Asphlalt (Extra Haul due to Flooding),MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,037,Minor Contract Revision,20140116,"$6,468.16",Minor Contract Revision Drilled Caisson,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,038,Minor Contract Revision,20140122,$0.00,Adjust Riser Valve,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,039,Minor Contract Revision,20140428,$0.00,MCR,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,025,Contract Modification Order,20130207,"$10,735.40",Add Concrete Sidewalk (Special),CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,024,Contract Modification Order,20130215,$0.00,Replace Project Special Provision  Revision of Section 206,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,021,Minor Contract Revision,20121213,$0.00,Aggregate Base Course (Class 3),MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,022,Minor Contract Revision,20121213,$0.00,Geogrid Reinforcement,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,023,Modifications With No CMO/MCR Required,20121213,-$260.00,Price Reduction Overweight Trucks,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,027,Minor Contract Revision,20130214,$0.00,Century Link Conflicts,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,028,Minor Contract Revision,20130214,$0.00,Xcel Energy Conflicts,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,029,Minor Contract Revision,20130214,$0.00,Comcast/BVSD conflicts,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,030,Modifications With No CMO/MCR Required,20130326,$0.00,OJT,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,020,Modifications With No CMO/MCR Required,20120926,"-$27,860.00",Lien Jacob Engineering,00
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,031,Minor Contract Revision,20130410,$0.00,Minor Contract Revisions Various,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,032,Contract Modification Order,20130423,$0.00,Asphalt Cement Cost Adjustment Index Change,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,026,Minor Contract Revision,20130213,$0.00,C&D Electric,MR
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,033,Contract Modification Order,20130425,$0.00,"Add SSP, Revision of Section 212, Seed, dated 4/26/12",CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,041,Contract Modification Order,20141006,$0.00,Vibration Monitoring,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,040,Contract Modification Order,20140514,"$21,277.00",Tenenbaum Residence Repairs,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,043,Contract Modification Order,20151211,"$100,000.00",Dispute # 3 Administrative Claim Settlement,CO
"CONCRETE EXPRESS, INC.","$17,034,895.69",C11873,4,CHERRYVALE RD. TO N. 75TH ST.,042,Contract Modification Order,20150108,"$12,962.00",Dispute # 1 Resolution,CO
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,001,Plan Force Account,20151208,"$775,000.00",Plan Force Account,FA
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,004,Modifications With No CMO/MCR Required,20160510,$138.00,Add'l Survey Hours,00
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,003,Minor Contract Revision,20160504,$0.00,MCR April 2016,MR
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,002,Minor Contract Revision,20160325,$0.00,MCR March 2016,MR
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,005,Modifications With No CMO/MCR Required,20160602,-$82.00,Price Reduction Overweight,00
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,007,Contract Modification Order,20160725,"$206,051.70",Storm Sewer System revisions,CO
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,013,Modifications With No CMO/MCR Required,20161213,-$300.00,Price Reduction Working Time Violation,00
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,014,Minor Contract Revision,20161214,$0.00,MCR November 2016,MR
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,011,Minor Contract Revision,20161005,$0.00,MCR September 2016,MR
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,009,Minor Contract Revision,20160907,$0.00,MCR August 2016,MR
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,006,Minor Contract Revision,20160725,$0.00,MCR June 2016,MR
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,008,Contract Modification Order,20160808,"$1,525.00",Boring work unit prices,CO
LAWSON CONSTRUCTION CO.,"$21,324,377.30",C12372R,4,US 287: SH 1 TO LAPORTE BYPASS,012,Modifications With No CMO/MCR Required,20161114,"-$12,355.20",Price Reduction ABC (Cl 6),00
"FLATIRON CONSTRUCTORS,  INC.","$35,949,933.08",C12623,4,S/O WCR 16 - N/O SH 119,046,Minor Contract Revision,20100714,$0.00,JULY 2010 - MCR LINES 25 & 26  sco046,MR
"FLATIRON CONSTRUCTORS,  INC.","$35,949,933.08",C12623,4,S/O WCR 16 - N/O SH 119,048,Minor Contract Revision,20100729,"$6,320.00",August 2010 - MCR Lines 27 sco048,MR
"FLATIRON CONSTRUCTORS,  INC.","$35,949,933.08",C12623,4,S/O WCR 16 - N/O SH 119,047,Contract Modification Order,20100728,"$635,529.80",CMO 10 sco047 Administrative Dispute Settlement,CO
"FLATIRON CONSTRUCTORS,  INC.","$35,949,933.08",C12623,4,S/O WCR 16 - N/O SH 119,049,Minor Contract Revision,20110523,$0.00,May 2011 sco 049,MR
"FLATIRON CONSTRUCTORS,  INC.","$35,949,933.08",C12623,4,S/O WCR 16 - N/O SH 119,050,Contract Modification Order,20110817,$0.00,Add Rev Section 105 & Section 109,CO
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,008,Contract Modification Order,20100622,"$134,081.20",Subgrade repair Eastbound US50C from Sta. 1360+00 to 1366+55,CO
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,005,Contract Modification Order,20100325,"$5,000.00",CO #5 HWY 50 Pothole Repair,CO
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,009,Minor Contract Revision,20100622,$0.00,Subgrade Fix on 3 Soft Spots on EB US50C,MR
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,006,Subcontractor/Supplier Lien-SiteMgr only,20100304,"-$20,740.40",C0 #6 Rocky Mountain Reinforcement /Harris Rebar Lien,CL
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,003,Contract Modification Order,20100325,"$2,000.00",CO #3 Rebar at Existing Abutment 3,CO
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,007,Contract Modification Order,20100601,"$55,468.00","CO#7, Deck Rehab",CO
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,002,Contract Modification Order,20100210,$0.00,Change of Notice to Proceed,CO
"HAMON INFRASTRUCTURE, INC.","$1,786,812.94",C12854,2,ST CHARLES BRIDGE L-19-C,004,Contract Modification Order,20100325,"$30,000.00",CO #4 Caisson Drilling  thru Obstruction Abutment 1,CO
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,033,Contract Modification Order,20101020,"$1,272,000.00",CMO #33 - Railroad Flagging,CO
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,030,Minor Contract Revision,20100121,$0.00,CMO #30 - Loop Ramp Drainage,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,035,Minor Contract Revision,20101208,$0.00,CMO #35 - Bollard,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,031,Contract Modification Order,20100422,"$165,736.50",CMO #31 - Phase Change for Pedestrian Access,CO
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,032,Minor Contract Revision,20100805,$0.00,CMO #32 - Modify PVC Hanger System,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,036,Minor Contract Revision,20101208,$0.00,CMO #36 - SEAL SIDEWALK STR. K-18-GT and STR. K-18-GS,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,034,Minor Contract Revision,20110307,$0.00,CMO #34 - SOIL CONDITIONING,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,042,Contract Modification Order,20120711,"$202,229.00",EXTRA WORK PHASE II,CO
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,041,Minor Contract Revision,20111012,"$9,875.00",EXTRA WORK,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,038,Contract Modification Order,20110502,"$51,391.50",CMO #38 - Embankment Material (CIP) Overrun,CO
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,039,Minor Contract Revision,20110502,$0.00,CMO #39 - HMA Production Loss,MR
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,040,Contract Modification Order,20110602,"$299,453.05",CMO #40 - Landscape Revision,CO
"FLATIRON CONSTRUCTORS,  INC.","$27,657,855.15",C13141-ALT,2,4th Street Bridge,037,Minor Contract Revision,20110307,$0.00,CMO #37 - F/A Snow Removal,MR
INTERSTATE HIGHWAY CONSTRUCTION,"$48,658,183.42",C13192,4,N/O SH 119 - N/O SH 66,063,Minor Contract Revision,20110221,$0.00,Luminaire HPS 400 Watt,MR
INTERSTATE HIGHWAY CONSTRUCTION,"$48,658,183.42",C13192,4,N/O SH 119 - N/O SH 66,061,Minor Contract Revision,20100715,$0.00,MCR,MR
INTERSTATE HIGHWAY CONSTRUCTION,"$48,658,183.42",C13192,4,N/O SH 119 - N/O SH 66,062,Contract Modification Order,20110223,$0.00,Revision of Project Completion Date,CO
KELLEY TRUCKING INCORPORATED,"$7,779,386.18",C13385,1,Hogback Park N Ride Phase II,048,Modifications With No CMO/MCR Required,20100809,"$31,158.30",F/A Landscape Establishment Incentive,00
"SEMA CONSTRUCTION, INC.","$26,485,659.75",C13393,4,S/O LARIMER CR 6 TO S/O SH 60,097,Contract Modification Order,20110404,"$160,174.38",Incorporate Field-Changed Sheets into Plans,CO
"KIRKLAND CONSTRUCTION, LLLP","$3,840,371.95",C13472,3,CIMARRON - WEST,017,Modifications With No CMO/MCR Required,20100114,"-$3,661.25",Arbitration Costs,00
"SEMA CONSTRUCTION, INC.","$22,577,777.77",C13590,2,POWERS/SH 16 INITIAL CONNECT,033,Contract Modification Order,20110517,$0.00,MCR 35 - Bridge Approach Soil Densification,CO
"SEMA CONSTRUCTION, INC.","$22,577,777.77",C13590,2,POWERS/SH 16 INITIAL CONNECT,035,Minor Contract Revision,20120320,$0.00,Abutment and Concrete Pavement Repair,MR
"SEMA CONSTRUCTION, INC.","$22,577,777.77",C13590,2,POWERS/SH 16 INITIAL CONNECT,034,Contract Modification Order,20110921,$0.00,"MCR 36 - Nondestructive Testing, Structure J-18-BN",CO
"SEMA CONSTRUCTION, INC.","$22,577,777.77",C13590,2,POWERS/SH 16 INITIAL CONNECT,036,Minor Contract Revision,20120320,$0.00,Additional Fencing,MR
"SEMA CONSTRUCTION, INC.","$22,577,777.77",C13590,2,POWERS/SH 16 INITIAL CONNECT,037,Minor Contract Revision,20120507,$0.00,Wingwall Flashin and Abutment Weep Holes,MR
"SEMA CONSTRUCTION, INC.","$22,577,777.77",C13590,2,POWERS/SH 16 INITIAL CONNECT,038,Plan Force Account,20121226,$0.00,F/A Utilities,FA
"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$12,764,337.24",C13808,4,US 34 BUS.:SH 257-71ST AVE.,017,Minor Contract Revision,20111101,$0.00,Add Project Specials Provisions,MR
"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$12,764,337.24",C13808,4,US 34 BUS.:SH 257-71ST AVE.,016,Contract Modification Order,20110818,"-$87,084.96",Phasing and Lane Rental,CO
"TRICON 2, LLC","$1,581,000.00",C14089-ALT,2,SAUNDERS ARROYO,002,Contract Modification Order,20100310,"-$25,041.89",Restocking of H-piles,CO
"TRICON 2, LLC","$1,581,000.00",C14089-ALT,2,SAUNDERS ARROYO,003,Minor Contract Revision,20100310,"$20,099.72",Addtional Aggregate Base Course (Class 6),MR
"TRICON 2, LLC","$1,581,000.00",C14089-ALT,2,SAUNDERS ARROYO,004,Modifications With No CMO/MCR Required,20100716,"-$14,400.00",Liquidated Damages,00
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,029,Contract Modification Order,20100722,"$772,214.23",Correction of Quantities SB I-25,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,021,Contract Modification Order,20100205,"$143,107.16",Implementation of the Water Quality Consent Order,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,028,Contract Modification Order,20100310,"$15,000.00",LED Protective Cover Plates,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,031,Contract Modification Order,20110923,"$112,033.01",Pavement and Sidewalk Repair on SH 12,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,030,Contract Modification Order,20100809,"-$44,068.79",Concrete Pavement SB,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,036,Contract Modification Order,20111107,"$24,473.84",Delineation,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,033,Contract Modification Order,20110509,"$72,420.20",Water and sewer services to Multi-Modal Building,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,034,Contract Modification Order,20110630,"$12,000.00",Veteran's Park Flag Poles (4f Mitigation),CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,035,Contract Modification Order,20111020,"$44,305.75",Main Street Slab Repair,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,032,Contract Modification Order,20110630,"$29,395.85",Gas Line Relocation and Service Line,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,037,Modifications With No CMO/MCR Required,20120406,"-$25,502.37",Lien Withholding,00
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,038,Contract Modification Order,20121210,"$10,124.54",Remove Existing Gas/Water Service to AMACO and Pizza Hut,CO
LAWRENCE CONSTRUCTION COMPANY,"$36,907,794.90",C14551RA-ALT,2,I 25 - Commercial to Main - NB,039,Contract Modification Order,20130225,"$38,800.00",Reimbursement for Unused Materials,CO
"HAMON INFRASTRUCTURE, INC.","$17,618,378.14",C14811,6,WADSWORTH BYPASS @ GRANDVIEW,029,Contract Modification Order,20100505,$0.00,Grandview Avenue Planter Box Modifications,CO
"HAMON INFRASTRUCTURE, INC.","$17,618,378.14",C14811,6,WADSWORTH BYPASS @ GRANDVIEW,030,Contract Modification Order,20100505,"-$14,973.81",Previous CMO Overpayment,CO
"AGGREGATE INDUSTRIES - WCR, INC.","$6,068,953.40",C14839,4,US 85 LASALLE TO 22ND ST,017,Minor Contract Revision,20100615,$0.00,CORRECTION TO MCR,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,031,Minor Contract Revision,20100219,$0.00,Modification of 24 Inch CMP at BNSF RR tracks,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,035,Minor Contract Revision,20100316,$0.00,Median Barrier Repair,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,038,Contract Modification Order,20110606,$0.00,CDOT/FCI MEDIATION,CO
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,032,Minor Contract Revision,20100419,$0.00,Design Wall A & B Connection to Bike Path Wall,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,033,Minor Contract Revision,20100601,$0.00,Phase I MSE Wall Modification,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,034,Minor Contract Revision,20100308,$0.00,Restocking Fee for Landscape Boulders,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,028,Contract Modification Order,20100304,$0.00,Incorporation of Revision of Section 601 Structural Concrete,CO
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,039,Contract Modification Order,20110808,"$956,281.95",RESOLUTION OF MULTIPLE DISPUTES BY DRB,CO
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,025,Minor Contract Revision,20100419,$0.00,Field Facility Adjustments,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,026,Minor Contract Revision,20100219,$0.00,Soil Anchor Replacement,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,027,Minor Contract Revision,20100208,$0.00,Concrete Pump for Slope Paving under Ped Bridge,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,029,Contract Modification Order,20100120,$0.00,Pavement Smoothness Specification Adjustment,CO
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,030,Contract Modification Order,20100209,$0.00,Abutment Backfill,CO
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,022,Minor Contract Revision,20100121,$0.00,"3/4"" Rock for Phase 2/Bottom of MSE Wall E-16-BJ to Coors Rd",MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,023,Minor Contract Revision,20100106,$0.00,High Speed Profiler QA,MR
"FLATIRON CONSTRUCTORS,  INC.","$5,372,247.14",C14959-ALT,6,SH 58/ 44TH AVE BRIDGE REPLACEMENT,037,Contract Modification Order,20110606,$0.00,Revision of Subsection 105.21and Section 109,CO
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,003,Modifications With No CMO/MCR Required,20100622,"-$3,500.00",Stormwater Liquidated Damages,00
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,006,Minor Contract Revision,20100824,$0.00,Modify Access Road 242+84 Left,MR
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,002,Minor Contract Revision,20100329,$0.00,Cap Existing Well,MR
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,005,Minor Contract Revision,20100824,$0.00,Mud Jack Expansion Joint,MR
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,007,Minor Contract Revision,20101001,$0.00,Stormwater BMP Revisions,MR
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,008,Modifications With No CMO/MCR Required,20101022,"-$23,800.00",Liquidated Damages for Failure to Complete Work On Time,00
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,004,Minor Contract Revision,20100824,$0.00,Subgrade Stabilization,MR
LAWSON CONSTRUCTION CO.,"$4,578,596.89",C14976,1,US-85 TITAN TO COOK RANCH,009,Subcontractor/Supplier Lien-SiteMgr only,20101130,"-$95,533.82",Lien by Environmental Logistics,CL
"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$5,860,288.16",C15042,5,US 160 PASS LANES MONTE VISTA & ALAMOSA,001,Plan Force Account,20120502,"$1,094,882.00",Plan Force Account,FA
